#r,   l, node, open or close = 00open    00close    01close    10open    10close    11close    20open    20close    21close    30open    30close    31close    40open    40close    41close    50open    50close    51close    
   0.52275482   0.46397074   0.75651300  -0.98899876   0.20533598   0.42886256  -0.89088480   0.08421790   0.21380989  -0.60327759   0.03336816   0.09941810  -0.35587517   0.01296130   0.04421965  -0.19308548   0.00496927   0.01906982  -0.09894833
   0.53151319   0.47090400   0.76591812  -0.98587500   0.21176497   0.44107890  -0.90617820   0.08825415   0.22339970  -0.62442481   0.03553051   0.10553390  -0.37453461   0.01402342   0.04768959  -0.20655393   0.00546303   0.02089506  -0.10757480
   0.54030197   0.47782016   0.77520054  -0.98196502   0.21829031   0.45339723  -0.92095279   0.09241830   0.23323890  -0.64565556   0.03779754   0.11191327  -0.39369172   0.01515492   0.05136824  -0.22064513   0.00599749   0.02286144  -0.11676001
   0.54912125   0.48471827   0.78435684  -0.97726380   0.22491126   0.46581195  -0.93517706   0.09671208   0.24332702  -0.66693621   0.04017251   0.11856168  -0.41333168   0.01635912   0.05526387  -0.23536569   0.00657530   0.02497706  -0.12652398
   0.55797116   0.49159734   0.79338362  -0.97176693   0.23162706   0.47831729  -0.94881961   0.10113718   0.25366333  -0.68823183   0.04265872   0.12548438  -0.43343764   0.01763948   0.05938481  -0.25072069   0.00719925   0.02725033  -0.13688620
   0.56685180   0.49845641   0.80227743  -0.96547064   0.23843689   0.49090732  -0.96184918   0.10569526   0.26424679  -0.70950627   0.04525949   0.13268650  -0.45399078   0.01899953   0.06373947  -0.26671353   0.00787224   0.02968988  -0.14786550
   0.57576326   0.50529448   0.81103480  -0.95837182   0.24533989   0.50357595  -0.97423467   0.11038789   0.27507604  -0.73072213   0.04797815   0.14017294  -0.47497019   0.02044290   0.06833630  -0.28334583   0.00859733   0.03230465  -0.15947989
   0.58470566   0.51211056   0.81965227  -0.95046804   0.25233514   0.51631692  -0.98594527   0.11521665   0.28614945  -0.75184086   0.05081806   0.14794838  -0.49635284   0.02197334   0.07318379  -0.30061732   0.00937767   0.03510378  -0.17174647
   0.59367911   0.51890361   0.82812633  -0.94175756   0.25942169   0.52912380  -0.99695043   0.12018301   0.29746502  -0.77282277   0.05378259   0.15601729  -0.51811362   0.02359466   0.07829043  -0.31852573   0.01021658   0.03809668  -0.18468123
   0.60268371   0.52567263   0.83645349  -0.93223934   0.26659853   0.54198999  -1.00721997   0.12528843   0.30902045  -0.79362711   0.05687515   0.16438388  -0.54022520   0.02531079   0.08366471  -0.33706666   0.01111751   0.04129299  -0.19829897
   0.61171957   0.53241656   0.84463022  -0.92191310   0.27386461   0.55490872  -1.01672412   0.13053428   0.32081312  -0.81421208   0.06009912   0.17305211  -0.56265812   0.02712572   0.08931511  -0.35623350   0.01208404   0.04470258  -0.21261307
   0.62078681   0.53913435   0.85265298  -0.91077927   0.28121882   0.56787309  -1.02543356   0.13592191   0.33284002  -0.83453490   0.06345792   0.18202562  -0.58538071   0.02904356   0.09525005  -0.37601729   0.01311991   0.04833551  -0.22763543
   0.62988552   0.54582494   0.86051824  -0.89883908   0.28866000   0.58087599  -1.03331951   0.14145256   0.34509783  -0.85455193   0.06695495   0.19130779  -0.60835908   0.03106851   0.10147789  -0.39640665   0.01422899   0.05220206  -0.24337621
   0.63901582   0.55248725   0.86822242  -0.88609451   0.29618694   0.59391016  -1.04035377   0.14712745   0.35758287  -0.87421862   0.07059363   0.20090164  -0.63155715   0.03320482   0.10800691  -0.41738765   0.01541529   0.05631268  -0.25984375
   0.64817782   0.55912020   0.87576197  -0.87254837   0.30379839   0.60696820  -1.04650876   0.15294770   0.37029107  -0.89348972   0.07437735   0.21080987  -0.65493665   0.03545687   0.11484527  -0.43894373   0.01668300   0.06067799  -0.27704434
   0.65737163   0.56572267   0.88313330  -0.85820427   0.31149302   0.62004252  -1.05175764   0.15891437   0.38321803  -0.91231922   0.07830952   0.22103483  -0.67845709   0.03782910   0.12200099  -0.46105560   0.01803642   0.06530876  -0.29498210
   0.66659735   0.57229356   0.89033284  -0.84306664   0.31926946   0.63312537  -1.05607431   0.16502847   0.39635892  -0.93066054   0.08239351   0.23157846  -0.70207583   0.04032601   0.12948195  -0.48370117   0.01948003   0.07021589  -0.31365878
   0.67585511   0.57883174   0.89735699  -0.82714076   0.32712631   0.64620887  -1.05943351   0.17129089   0.40970858  -0.94846655   0.08663270   0.24244232  -0.72574808   0.04295221   0.13729580  -0.50685543   0.02101844   0.07541037  -0.33307361
   0.68514501   0.58533607   0.90420217  -0.81043279   0.33506208   0.65928495  -1.06181085   0.17770247   0.42326143  -0.96568967   0.09103042   0.25362756  -0.74942694   0.04571237   0.14545003  -0.53049044   0.02265641   0.08090330  -0.35322312
   0.69446715   0.59180540   0.91086476  -0.79294972   0.34307523   0.67234539  -1.06318292   0.18426398   0.43701150  -0.98228197   0.09558999   0.26513488  -0.77306344   0.04861121   0.15395184  -0.55457520   0.02439888   0.08670581  -0.37410097
   0.70382167   0.59823856   0.91734117  -0.77469947   0.35116418   0.68538183  -1.06352730   0.19097607   0.45095242  -0.99819528   0.10031469   0.27696451  -0.79660660   0.05165355   0.16280818  -0.57907561   0.02625090   0.09282908  -0.39569778
   0.71320865   0.60463439   0.92362781  -0.75569082   0.35932728   0.69838575  -1.06282267   0.19783933   0.46507742  -1.01338128   0.10520777   0.28911624  -0.82000348   0.05484423   0.17202569  -0.60395447   0.02821770   0.09928427  -0.41800099
   0.72262823   0.61099170   0.92972107  -0.73593350   0.36756282   0.71134848  -1.06104885   0.20485426   0.47937933  -1.02779157   0.11027244   0.30158933  -0.84319924   0.05818819   0.18161068  -0.62917135   0.03030465   0.10608254  -0.44099467
   0.73208051   0.61730928   0.93561735  -0.71543811   0.37586905   0.72426119  -1.05818687   0.21202124   0.49385053  -1.04137786   0.11551185   0.31438253  -0.86613727   0.06169038   0.19156909  -0.65468266   0.03251726   0.11323497  -0.46465939
   0.74156561   0.62358593   0.94131306  -0.69421623   0.38424415   0.73711494  -1.05421903   0.21934059   0.50848303  -1.05409201   0.12092910   0.32749406  -0.88875919   0.06535581   0.20190646  -0.68044154   0.03486120   0.12075254  -0.48897206
   0.75108364   0.62982042   0.94680461  -0.67228034   0.39268623   0.74990060  -1.04912896   0.22681251   0.52326837  -1.06588617   0.12652723   0.34092159  -0.91100504   0.06918954   0.21262790  -0.70639792   0.03734227   0.12864609  -0.51390579
   0.76063471   0.63601152   0.95208841  -0.64964389   0.40119335   0.76260895  -1.04290170   0.23443710   0.53819770  -1.07671293   0.13230924   0.35466220  -0.93281331   0.07319666   0.22373805  -0.73249850   0.03996642   0.13692632  -0.53942976
   0.77021894   0.64215798   0.95716091  -0.62632128   0.40976352   0.77523060  -1.03552375   0.24221435   0.55326172  -1.08652540   0.13827803   0.36871239  -0.95412110   0.07738228   0.23524106  -0.75868677   0.04273973   0.14560369  -0.56550909
   0.77983644   0.64825854   0.96201852  -0.60232786   0.41839466   0.78775603  -1.02698314   0.25014415   0.56845072  -1.09527737   0.14443642   0.38306803  -0.97486425   0.08175153   0.24714052  -0.78490305   0.04566842   0.15468841  -0.59210476
   0.78948733   0.65431193   0.96665771  -0.57767995   0.42708467   0.80017563  -1.01726947   0.25822628   0.58375454  -1.10292344   0.15078718   0.39772439  -0.99497746   0.08630956   0.25943948  -0.81108453   0.04875884   0.16419040  -0.61917348
   0.79917173   0.66031687   0.97107493  -0.55239486   0.43583134   0.81247961  -1.00637400   0.26646041   0.59916260  -1.10941912   0.15733295   0.41267607  -1.01439441   0.09106152   0.27214035  -0.83716533   0.05201746   0.17411922  -0.64666760
   0.80888975   0.66627207   0.97526666  -0.52649084   0.44463244   0.82465810  -0.99428970   0.27484607   0.61466387  -1.11472101   0.16407631   0.42791700  -1.03304799   0.09601257   0.28524490  -0.86307659   0.05545087   0.18448405  -0.67453507
   0.81864151   0.67217622   0.97922941  -0.49998714   0.45348565   0.83670109  -0.98101130   0.28338269   0.63024691  -1.11878693   0.17101971   0.44344044  -1.05087039   0.10116785   0.29875423  -0.88874656   0.05906578   0.19529362  -0.70271940
   0.82842712   0.67802801   0.98295967  -0.47290397   0.46238860   0.84859848  -0.96653534   0.29206956   0.64589981  -1.12157603   0.17816550   0.45923896  -1.06779333   0.10653247   0.31266871  -0.91410071   0.06286900   0.20655617  -0.73115956
   0.83824671   0.68382610   0.98645399  -0.44526252   0.47133884   0.86034006  -0.95086026   0.30090588   0.66161026  -1.12304898   0.18551592   0.47530439  -1.08374819   0.11211155   0.32698795  -0.93906186   0.06686743   0.21827939  -0.75979002
   0.84810039   0.68956917   0.98970893  -0.41708494   0.48033389   0.87191549  -0.93398640   0.30989067   0.67736550  -1.12316807   0.19307308   0.49162785  -1.09866627   0.11791012   0.34171077  -0.96355032   0.07106808   0.23047037  -0.78854077
   0.85798828   0.69525585   0.99272107  -0.38839437   0.48937116   0.88331437  -0.91591611   0.31902284   0.69315235  -1.12189740   0.20083895   0.50819971  -1.11247896   0.12393322   0.35683514  -0.98748406   0.07547805   0.24313554  -0.81733728
   0.86791050   0.70088480   0.99548702  -0.35921490   0.49844802   0.89452620  -0.89665376   0.32830118   0.70895719  -1.11920298   0.20881537   0.52500958  -1.12511793   0.13018578   0.37235818  -1.01077891   0.08010447   0.25628062  -0.84610062
   0.87786716   0.70645464   0.99800342  -0.32957158   0.50756178   0.90554038  -0.87620579   0.33772432   0.72476599  -1.11505292   0.21700404   0.54204630  -1.13651539   0.13667271   0.38827608  -1.03334872   0.08495459   0.26991055  -0.87474749
   0.88785839   0.71196398   1.00026695  -0.29949040   0.51670967   0.91634624  -0.85458077   0.34729076   0.74056428  -1.10941756   0.22540649   0.55929794  -1.14660432   0.14339879   0.40458411  -1.05510562   0.09003567   0.28402942  -0.90319035
   0.89788431   0.71741144   1.00227430  -0.26899831   0.52588887   0.92693305  -0.83178943   0.35699883   0.75633720  -1.10226960   0.23402411   0.57675176  -1.15531866   0.15036876   0.42127653  -1.07596022   0.09535503   0.29864045  -0.93133753
   0.90794503   0.72279562   1.00402223  -0.23812316   0.53509647   0.93728999  -0.80784472   0.36684675   0.77206947  -1.09358430   0.24285811   0.59439423  -1.16259362   0.15758722   0.43834661  -1.09582193   0.10092002   0.31374588  -0.95909340
   0.91804069   0.72811509   1.00550750  -0.20689375   0.54432951   0.94740621  -0.78276180   0.37683257   0.78774540  -1.08333954   0.25190950   0.61221101  -1.16836586   0.16505869   0.45578653  -1.11459914   0.10673800   0.32934695  -0.98635854
   0.92817139   0.73336844   1.00672694  -0.17533976   0.55358497   0.95727079  -0.75655812   0.38695418   0.80334890  -1.07151604   0.26117914   0.63018693  -1.17257383   0.17278752   0.47358742  -1.13219962   0.11281633   0.34544379  -1.01302996
   0.93833727   0.73855424   1.00767741  -0.14349176   0.56285974   0.96687275  -0.72925343   0.39720932   0.81886352  -1.05809749   0.27066769   0.64830601  -1.17515794   0.18077795   0.49173926  -1.14853074   0.11916237   0.36203541  -1.03900136
   0.94853843   0.74367104   1.00835581  -0.11138119   0.57215066   0.97620111  -0.70086980   0.40759558   0.83427238  -1.04307063   0.28037558   0.66655143  -1.17606092   0.18903407   0.51023090  -1.16349987   0.12578345   0.37911957  -1.06416338
