# y(file,data)
#      x           y(1,1)       y(2,1)       y(3,1)     sum_data1  
    14.522568     0.242955     0.082654     0.177727     0.763716
    14.597400     0.209315     0.086780     0.202326     0.787526
    14.672231     0.140141     0.079840     0.206944     0.713710
    14.747063     0.098942     0.062529     0.210044     0.644088
    14.821895     0.096384     0.057554     0.196032     0.603556
    14.896727     0.080868     0.069892     0.126187     0.473028
    14.971559     0.099049     0.063685     0.105757     0.437934
    15.046391     0.095634     0.067881     0.084329     0.400053
    15.121223     0.101842     0.068256     0.069837     0.378029
    15.196055     0.109119     0.045686     0.084915     0.370321
    15.270887     0.054967     0.047378     0.086300     0.322324
    15.345719     0.072471     0.050030     0.045814     0.264160
    15.420550     0.107686     0.049992     0.047210     0.302090
    15.495382     0.154472     0.033826     0.043418     0.308960
    15.570214     0.039096     0.027231     0.033376     0.160312
    15.645046     0.047212     0.017880     0.025959     0.134890
    15.719878     0.049891     0.020063     0.050311     0.190638
    15.794710     0.057779     0.025297     0.044310     0.196994
    15.869542     0.047159     0.023251     0.042207     0.178076
    15.944374     0.030565     0.028232     0.044514     0.176056
    16.019206     0.011578     0.024072     0.013891     0.087503
    16.094038     0.003888     0.005381     0.014813     0.044275
    16.168869     0.003675     0.002431     0.016698     0.041933
    16.243701     0.003555     0.003125     0.017926     0.045657
    16.318533     0.004139     0.003992     0.018530     0.049182
    16.393365     0.007137     0.004727     0.018492     0.053576
    16.468197     0.010681     0.005269     0.017711     0.056640
    16.543029     0.012187     0.005639     0.015639     0.054741
    16.617861     0.011976     0.005840     0.013743     0.051141
    16.692693     0.011793     0.005872     0.012073     0.047682
    16.767525     0.011637     0.005750     0.010703     0.044544
    16.842357     0.011199     0.005868     0.010296     0.043529
    16.917188     0.010793     0.007612     0.012051     0.050118
    16.992020     0.011265     0.012067     0.016139     0.067679
    17.066852     0.012646     0.019286     0.025609     0.102437
    17.141684     0.021805     0.036811     0.048263     0.191951
    17.216516     0.037617     0.068714     0.048445     0.271935
    17.291348     0.030879     0.058666     0.033319     0.214849
    17.366180     0.023922     0.042532     0.024219     0.157424
    17.441012     0.015110     0.040308     0.025899     0.147525
    17.515844     0.024396     0.056893     0.045537     0.229257
    17.590676     0.046116     0.060654     0.058532     0.284487
    17.665507     0.055040     0.043059     0.066474     0.274105
    17.740339     0.063799     0.031416     0.047773     0.222176
    17.815171     0.063087     0.036650     0.036517     0.209421
    17.890003     0.064919     0.046053     0.035204     0.227434
    17.964835     0.070623     0.039535     0.029751     0.209196
    18.039667     0.070105     0.024506     0.026780     0.172678
    18.114499     0.057011     0.019636     0.020448     0.137178
    18.189331     0.042414     0.022910     0.020948     0.130131
    18.264163     0.043682     0.024334     0.020185     0.132718
    18.338995     0.049553     0.025589     0.023144     0.147020
    18.413826     0.028562     0.028817     0.022664     0.131525
    18.488658     0.025147     0.031114     0.023005     0.133384
    18.563490     0.024950     0.031523     0.021270     0.130536
    18.638322     0.025843     0.028275     0.017987     0.118367
    18.713154     0.025256     0.026208     0.016998     0.111669
    18.787986     0.025185     0.026177     0.015828     0.109196
    18.862818     0.015074     0.027006     0.016834     0.102754
    18.937650     0.015396     0.034333     0.015983     0.116029
    19.012482     0.016896     0.025557     0.015317     0.098645
    19.087314     0.020033     0.021260     0.016182     0.094917
    19.162145     0.022132     0.021445     0.015649     0.096320
    19.236977     0.019443     0.021057     0.014365     0.090288
    19.311809     0.019713     0.020499     0.015447     0.091605
    19.386641     0.021705     0.021204     0.016962     0.098037
    19.461473     0.023332     0.025052     0.018837     0.111109
    19.536305     0.021410     0.031517     0.017190     0.118824
    19.611137     0.020458     0.021929     0.017261     0.098838
    19.685969     0.020514     0.027515     0.019963     0.115471
    19.760801     0.019104     0.034934     0.020969     0.130910
    19.835633     0.018770     0.036868     0.018568     0.129641
    19.910464     0.018582     0.029762     0.016325     0.110755
    19.985296     0.017812     0.028971     0.017118     0.109990
    20.060128     0.015480     0.032646     0.014256     0.109283
    20.134960     0.013586     0.019819     0.014585     0.082395
    20.209792     0.014379     0.018029     0.010854     0.072144
    20.284624     0.013297     0.014995     0.008429     0.060145
    20.359456     0.012545     0.013611     0.006791     0.053350
    20.434288     0.013280     0.013264     0.004960     0.049727
    20.509120     0.014016     0.013068     0.003715     0.047583
    20.583952     0.014735     0.013251     0.004084     0.049405
    20.658783     0.015794     0.014604     0.004760     0.054522
    20.733615     0.017212     0.018471     0.005896     0.065946
    20.808447     0.018560     0.024307     0.008241     0.083657
    20.883279     0.021772     0.029857     0.011148     0.103782
    20.958111     0.023519     0.035232     0.014101     0.122185
    21.032943     0.024457     0.040228     0.017739     0.140390
